"State","Facility Name","Facility ID","Date","Hour","Gross Load (MW)","Steam Load (1000 lb/hr)","SO2 Mass (lbs)","CO2 Mass (short tons)","NOx Mass (lbs)","Heat Input (mmBtu)"
"MA","Pittsfield Generating",50002,"2025-03-22",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-23",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-24",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",5,,,,,,
